tag,n,acc
age_unknown,1318,0.43247345
body_part,20000,0.7588
bright,1272,0.7610063
dark,3361,0.7554299
depiction,754,0.81962866
far,943,0.24920467
gender_unknown,1727,0.49971047
medium_distance,2400,0.50458336
middle_age,2348,0.6673765
near,5946,0.7092163
non-person_depiction,378,0.9285714
non-person_non-depiction,9275,0.94738543
normal_lighting,15367,0.7593545
older,102,0.6960784
person_depiction,376,0.7101064
predominantly_female,801,0.7353308
predominantly_male,1372,0.6333819
young,331,0.74018127
