tag,n,acc
age_unknown,1318,0.8194234
body_part,20000,0.7776
bright,1272,0.8011006
dark,3361,0.76078546
depiction,754,0.48408487
far,943,0.5630965
gender_unknown,1727,0.85581934
medium_distance,2400,0.8645833
middle_age,2348,0.92078364
near,5946,0.9530777
non-person_depiction,378,0.6296296
non-person_non-depiction,9275,0.71967655
normal_lighting,15367,0.77933234
older,102,0.9019608
person_depiction,376,0.33776596
predominantly_female,801,0.9400749
predominantly_male,1372,0.9074344
young,331,0.95770395
